ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,Cluster,PCA1,PCA2
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,0,0.042698867728145226,-1.0512491855596078
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,0,1.1537707773966575,-0.7513649945447544
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,0,-0.3104067038613867,-1.108565712898404
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,3,-0.629224840509152,1.962033772789386
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,0,-0.576803515093562,-0.4064305157432154
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,1,0.3930360999999002,0.3148322646909939
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,0,-0.07260615564637057,-0.5400459040031309
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,1,1.1006213213701173,0.9635503420657413
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,0,-0.4421135612455204,-0.12700202480267325
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,1,0.2588269408220617,-0.24598075359920682
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,1,2.2983388533337292,2.0980068994082925
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,1,0.7834279759823634,0.4166668824625164
